매출 보고,(Revenue Report),이번 달로 가기,총매출,팩,카튼,그로서리,잡화,토바코,맥주,메인포스,카드,잡화 비율,카드/총매출,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 토바코,평균 맥주,누락,주별 총 누락,,매출,담배 갑 ,담배보루,그로서리,잡화,토바코,맥주
,,6/20/2017 Tues,"$2,622.03",$962.65,$290.10,$46.05,$636.66,$241.98,$207.09,"-$1,641.19","$1,170.32",26.71%,44.63%,,,,,,,,,,$980.84,,,,,,,,,
,,6/21/2017 Wed,"$2,269.83",$608.88,$152.30,$10.29,$910.82,$246.07,$134.91,"-$1,399.28","$1,005.81",44.14%,44.31%,,,,,,,,,,$870.55,,,,,,,,,
,,6/22/2017 Thur,"$2,701.19",$728.09,$179.70,$48.03,"$1,146.03",$223.51,$131.00,"-$1,625.69","$1,178.27",46.67%,43.62%,,,,,,,,,,"$1,075.50",,,,,,,,,
,,6/23/2017 Fri,"$2,784.20",$884.54,$318.60,$40.32,$892.35,$242.47,$153.60,"-$1,730.28","$1,316.27",35.26%,47.28%,,,,,,,,,,"$1,053.92",,,,,,,,,
,,6/24/2017 Sat,"$2,382.97",$778.14,$455.40,$27.77,$538.29,$157.40,$209.28,"-$1,702.80","$1,254.92",24.85%,52.66%,,,,,,,,,,$680.17,,,,,,,,,
,,6/25/2017 Sun,"$1,534.79",$652.40,$92.90,$25.98,$317.28,$219.00,$88.07,"-$1,135.13",$578.36,22.74%,37.68%,,,,,,,,,,$399.66,,,,,,,,,
,,6/26/2017 Mon,"$2,211.81",$792.33,$302.80,$31.64,$476.60,$238.79,$145.18,"-$1,476.42","$1,256.94",23.70%,56.83%,,Week 15,"$2,230.29",$694.67,$232.72,$34.81,$674.01,$239.69,$146.00,$735.39,"$5,838.44",,,,,,,,
,,6/27/2017 Tues,"$1,916.89",$636.18,$138.80,$11.77,$613.20,$223.52,$119.51,"-$1,167.50",$945.27,35.19%,49.31%,,,,,,,,,,$749.39,,,,,,,,,
,,6/28/2017 Wed,"$1,821.07",$647.69,$78.90,$33.50,$557.52,$249.13,$88.97,"-$1,137.47",$681.62,33.68%,37.43%,,,,,,,,,,$683.60,,,,,,,,,
,,6/29/2017 Thur,"$2,168.11",$690.75,$166.47,$316.10,$505.84,$344.40,$144.55,"-$1,179.13",$788.45,25.66%,36.37%,,,,,,,,,,$988.98,,,,,,,,,
,,6/30/2017 Fri,"$3,072.81",$749.22,$349.50,$62.85,"$1,086.28",$329.42,$216.20,"-$2,015.54","$1,668.26",38.89%,54.29%,,,,,,,,,,"$1,057.27",,,,,,,,,
2017년 7월,매출 보고,7/1/2017 Sat,"$2,378.26",$685.93,$379.50,$56.18,$653.10,$207.99,$180.46,"-$1,623.27","$1,265.90",30.21%,53.23%,,,,,,,,,,$754.99,,,,,,,,,
,,7/2/2017 Sun,"$2,043.11",$660.56,$146.80,$12.94,$825.50,$84.59,$127.12,"-$1,174.29",$797.14,44.44%,39.02%,,,,,,,,,,$868.82,,,,,,,,,
실제 수익,"$72,099.51",7/3/2017 Mon,"$2,430.16",$845.05,$291.10,$48.61,$667.39,$229.13,$143.35,"-$1,628.19","$1,149.44",30.21%,47.30%,,Week 16,"$2,191.70",$651.63,$211.39,$35.08,$658.44,$269.77,$126.67,$801.97,"$5,446.71",,,,,,,,
보고 수익,"$46,979.21",7/4/2017 Tues,"$1,660.47",$661.30,$59.90,$28.88,$567.08,$131.90,$61.04,-$971.73,$769.57,37.57%,46.35%,4th of July,,,,,,,,,$688.74,,,,,,,,,
카드 수익,"$35,324.50",7/5/2017 Wed,"$2,698.00",$694.83,$213.70,$28.50,$921.63,$422.85,$174.69,"-$1,617.78","$1,214.97",37.58%,45.03%,10AM-7PM,,,,,,,,,"$1,080.22",,,,,,,,,
,"$11,654.71",7/6/2017 Thur,"$1,998.03",$578.72,$374.70,$42.41,$473.94,$254.26,$92.28,"-$1,394.88",$968.02,26.09%,48.45%,,,,,,,,,,$603.15,,,,,,,,,
담배 수익,"$29,782.77",7/7/2017 Fri,"$2,561.48",$603.06,$318.60,$28.01,$854.01,$363.85,$161.24,"-$1,765.08","$1,452.70",36.67%,56.71%,,,,,,,,,,$796.40,,,,,,,,,
그로서리 수익,"$1,204.79",7/8/2017 Sat,"$2,313.21",$759.22,$142.80,$48.52,$819.96,$198.88,$133.99,"-$1,380.71",$823.92,38.99%,35.62%,,,,,,,,,,$932.50,,,,,,,,,
잡화 수익,"$22,930.79",7/9/2017 Sun,"$1,680.58",$419.24,$78.90,$20.64,$305.05,$287.51,$120.07,"-$1,136.85",$997.66,19.97%,59.36%,,,,,,,,,,$543.73,,,,,,,,,
토바코 수익,"$7,754.16",7/10/2017 Mon,"$2,341.78",$787.89,$227.70,$30.77,$717.89,$239.64,$125.74,"-$1,465.36","$1,194.14",33.72%,50.99%,,Week 17,"$2,452.59",$682.80,$195.91,$40.59,$867.37,$248.95,$127.17,$876.42,"$6,977.51",,,,,,,,
맥주 수익,"$4,223.67",7/11/2017 Tues,"$2,020.56",$618.87,$226.70,$29.15,$645.38,$177.90,$139.03,"-$1,271.82",$948.90,35.13%,46.96%,,,,,,,,,,$748.74,,,,,,,,,
,,7/12/2017 Wed,"$2,716.15",$583.70,"$1,185.90",$22.74,$917.72,$263.44,$97.52,"-$1,531.33","$1,097.41",37.17%,40.40%,,,,,,,,,,"$1,184.82",,,,,,,,,
,,7/13/2017 Thur,"$2,379.84",$655.39,$141.38,$66.76,$835.38,$355.78,$110.53,"-$1,367.13","$1,030.22",38.61%,43.29%,,,,,,,,,,"$1,012.71",,,,,,,,,
,,7/14/2017 Fri,"$3,033.36",$876.93,$350.50,$48.21,"$1,012.18",$208.18,$190.39,"-$1,962.90","$1,596.09",36.71%,52.62%,,,,,,,,,,"$1,070.46",,,,,,,,,
,,7/15/2017 Sat,"$2,316.82",$678.35,$71.40,$44.27,$925.66,$240.11,$132.48,"-$1,318.32","$1,046.60",43.95%,45.17%,,,,,,,,,,$998.50,,,,,,,,,
,,7/16/2017 Sun,"$2,359.61",$578.46,$157.80,$42.22,"$1,017.35",$257.60,$94.48,"-$1,273.75",$973.41,47.43%,41.25%,,,,,,,,,,"$1,085.86",,,,,,,,,
,,7/17/2017 Mon,"$2,217.88",$569.76,$217.70,$26.68,$867.77,$196.81,$137.68,"-$1,516.04","$1,212.07",43.04%,54.65%,,Week 18,"$2,280.67",$678.49,$238.01,$33.72,$733.31,$257.50,$144.65,$701.84,"$5,740.94",,,,,,,,
,,7/18/2017 Tues,"$2,228.24",$633.73,$234.80,$37.72,$770.36,$208.71,$140.93,"-$1,531.56","$1,104.84",38.03%,49.58%,,,,,,,,,,$696.68,,,,,,,,,
,,7/19/2017 Wed,"$2,237.94",$634.77,$309.30,$43.88,$680.97,$231.95,$94.63,"-$1,337.53",$900.29,33.47%,40.23%,,,,,,,,,,$900.41,,,,,,,,,
,,7/20/2017 Thur,"$2,093.18",$577.57,$384.50,$37.27,$574.29,$230.11,$115.15,"-$1,222.20","$1,013.83",30.18%,48.43%,,,,,,,,,,$870.98,,,,,,,,,
,,7/21/2017 Fri,"$2,416.34",$875.13,$220.70,$52.51,$520.12,$443.99,$192.57,"-$1,696.67","$1,371.64",23.68%,56.77%,,,,,,,,,,$719.67,,,,,,,,,
,,7/22/2017 Sat,"$2,944.87",$975.29,$220.20,$24.33,"$1,071.60",$190.05,$195.87,"-$1,810.23","$1,353.34",40.03%,45.96%,,,,,,,,,,"$1,134.64",,,,,,,,,
,,7/23/2017 Sun,"$1,826.25",$483.18,$78.90,$13.62,$648.03,$300.90,$135.74,"-$1,109.53",$782.51,39.03%,42.85%,,,,,,,,,,$716.72,,,,,,,,,
