,dates,total,pack,carton,grcy,misc_total,tobacco,beer,main,card
238,2017-11-21,2100.85,632.47,134.3,17.17,756.55,213.67,152.02,-1317.13,1010.7
239,2017-11-22,2517.52,578.75,242.7,17.15,920.44,361.79,168.14,-1591.5,1117.45
240,2017-11-23,2187.7,522.08,79.9,16.64,1054.27,228.42,87.3,-1331.52,1011.89
241,2017-11-24,2313.38,626.95,132.8,26.49,998.49,242.78,76.0,-1372.2,1057.7
242,2017-11-25,2141.94,683.68,79.9,13.3,689.67,326.23,154.24,-1392.91,1091.07
243,2017-11-26,2198.15,573.74,305.1,13.44,736.9,247.02,123.02,-1720.25,1334.32
244,2017-11-27,2226.51,695.23,70.9,20.05,792.81,311.11,134.48,-1332.74,591.69
245,2017-11-28,2332.08,697.62,697.62,20.6,1009.92,205.1,93.86,-1334.34,1011.41
246,2017-11-29,1945.38,660.54,59.9,24.25,708.61,216.64,107.56,-1414.69,1114.68
247,2017-11-30,2329.43,595.67,159.8,38.34,1043.87,162.74,117.6,-1459.69,1232.12
248,2017-12-01,3486.26,854.49,523.3,19.73,1154.84,461.01,156.18,-2448.74,1920.7
249,2017-12-02,3124.82,644.12,234.2,26.22,1397.91,421.04,117.15,-2124.82,1657.04
250,2017-12-03,1810.0,689.04,0.0,9.84,602.49,223.84,120.29,-1193.54,909.54
251,2017-12-04,2196.02,704.12,79.9,25.85,876.08,217.37,93.68,-1406.97,960.44
252,2017-12-05,2366.22,900.87,0.0,18.86,820.75,314.07,96.47,-1603.66,874.28
253,2017-12-06,1940.13,512.84,79.9,37.6,775.3,237.61,120.45,-1307.94,912.39
254,2017-12-07,2135.34,467.83,79.9,24.13,770.73,335.55,163.49,-1218.31,843.32
255,2017-12-08,3400.33,677.75,541.3,31.89,1421.1,292.82,128.56,-2387.37,1947.03
256,2017-12-09,2589.72,694.32,141.8,32.4,1139.88,220.87,126.61,-1499.55,1125.36
257,2017-12-10,2105.45,549.64,145.3,20.33,886.05,201.58,110.95,-1306.74,1022.99
258,2017-12-11,2006.17,583.85,240.7,17.1,634.4,234.45,113.8,-1097.6,782.68
259,2017-12-12,1688.34,699.59,0.0,13.53,452.45,248.58,120.84,-1170.65,624.75
260,2017-12-13,2095.92,669.23,159.8,21.8,643.76,288.18,122.87,-1216.73,859.84
261,2017-12-14,2384.77,619.95,150.8,26.74,919.14,299.47,152.09,-1579.13,1196.97
262,2017-12-15,2877.53,681.38,156.8,30.74,1263.5,309.78,173.81,-2295.49,1863.08
263,2017-12-16,3277.63,675.14,282.1,16.82,1593.02,293.16,119.16,-2015.66,1438.79
264,2017-12-17,2020.7,470.83,157.3,28.81,817.91,281.03,81.64,-1419.13,974.18
265,2017-12-18,2276.53,693.8,89.9,20.54,838.05,326.18,101.21,-1412.99,920.7
266,2017-12-19,2464.82,642.05,249.7,27.13,893.38,256.7,172.11,-1376.17,1006.73
267,2017-12-20,2236.96,495.38,59.9,25.14,975.6,349.7,127.67,-1252.91,917.57
268,2017-12-21,2597.14,644.5,230.7,21.82,900.06,397.74,166.12,-2043.24,1533.58
269,2017-12-22,4206.87,743.39,329.1,38.02,2168.18,396.17,145.27,-2482.78,1811.46
270,2017-12-23,3601.61,831.94,296.1,26.12,1577.64,417.13,125.12,-2767.53,2075.93
271,2017-12-24,2666.3,609.32,227.7,12.2,1131.05,307.94,146.88,-1896.65,1402.24
273,2017-12-26,3438.15,742.08,312.1,33.99,1426.43,428.38,182.8,-2233.84,1635.74
274,2017-12-27,2808.13,830.59,156.8,38.84,1160.17,295.04,72.43,-2038.06,1533.14
275,2017-12-28,1801.84,554.26,0.0,12.97,671.63,311.7,88.86,-1203.51,834.42
276,2017-12-29,3000.91,690.23,386.5,24.94,1086.82,385.72,154.05,-2326.06,1811.47
277,2017-12-30,3098.35,844.93,294.6,33.06,1382.04,181.51,80.41,-2001.25,1513.56
278,2017-12-31,2168.11,683.09,150.8,27.63,683.18,341.3,85.33,-1543.96,1198.91
279,2018-01-01,1193.12,368.19,76.9,22.22,337.4,213.96,66.01,-524.26,264.94
280,2018-01-02,2039.49,723.88,70.9,9.52,702.6,259.5,87.46,-1399.63,974.43
281,2018-01-03,2555.35,719.65,159.8,25.65,1086.85,257.13,73.96,-1504.1,1097.65
282,2018-01-04,2741.61,631.96,79.9,15.19,1338.79,337.14,89.26,-1852.62,1391.59
283,2018-01-05,2917.36,817.79,311.1,18.9,1035.85,315.63,152.72,-1956.59,1440.02
